Q,k,l,kappa
0.0016680807912315071,3.5,32.0,0.2
0.0011946363515693299,7.000000000000001,32.0,0.2
0.00113384847339547,4.9,35.0,0.2
4.861616112508928e-5,9.1,35.0,0.2
0.00039023231929058265,6.300000000000001,30.0,0.2
0.0007998383757592083,5.6000000000000005,29.0,0.2
3.509090873645547e-5,6.300000000000001,29.0,0.2
0.0007180706998174677,2.8,31.0,0.2
0.00021135353321865118,2.0999999999999996,30.0,0.2
0.0001705959578727681,4.9,27.0,0.2
0.0008493333247542088,2.0999999999999996,29.0,0.2
0.0003745454507621672,9.1,36.0,0.2
5.929292869401082e-5,1.4,29.0,0.2
1.803030284817876e-5,8.4,33.0,0.2
1.099999988888889e-5,9.799999999999999,36.0,0.2
0.0002299090885867769,4.9,36.0,0.2
2.1424242207835938e-5,4.2,36.0,0.2
0.0021146565442963987,9.799999999999999,39.0,0.2
0.0008206565573671055,7.000000000000001,39.0,0.2
0.007664696892275789,9.1,40.0,0.2
0.004750838335850118,9.799999999999999,40.0,0.2
0.004922919142192736,9.799999999999999,41.0,0.2
0.003185696937518213,9.1,41.0,0.2
0.0037853332950976435,8.4,40.0,0.2
0.00020917171505887156,10.499999999999998,39.0,0.2
0.002195929270748189,10.499999999999998,41.0,0.2
0.0029071211827563516,10.499999999999998,42.0,0.2
0.002629727246164371,9.799999999999999,42.0,0.2
0.0009987878686991125,9.1,42.0,0.2
0.0002624343407834915,11.199999999999998,41.0,0.2
0.0008740302942017142,10.499999999999998,40.0,0.2
0.0010680605952721153,8.4,41.0,0.2
0.00020696969487909398,7.700000000000001,41.0,0.2
0.00023058585625670852,9.1,43.0,0.2
0.0008015353454390369,9.799999999999999,43.0,0.2
0.0017310302855451487,10.499999999999998,43.0,0.2
0.0013819393799804102,11.199999999999998,43.0,0.2
0.0002788181790018366,11.899999999999997,43.0,0.2
0.0006498080742443629,10.499999999999998,44.0,0.2
0.001011999989777778,11.199999999999998,44.0,0.2
0.0005836868627910418,11.899999999999997,44.0,0.2
0.0002443333308653199,8.4,42.0,0.2
3.9595959196000415e-5,7.700000000000001,42.0,0.2
9.515151419038874e-6,7.000000000000001,42.0,0.2
0.0009356262531754923,7.700000000000001,40.0,0.2
0.00043131312695643306,5.6000000000000005,37.0,0.2
5.191919139475564e-6,10.499999999999998,37.0,0.2
0.00016792929123303745,7.000000000000001,40.0,0.2
0.00014116161473574126,6.300000000000001,39.0,0.2
0.00013514141277634937,4.2,35.0,0.2
1.229292916875829e-5,3.5,35.0,0.2
5.959595899398021e-5,3.5,34.0,0.2
0.00014742424093510867,2.8,32.0,0.2
1.5898989738394044e-5,2.0999999999999996,32.0,0.2
0.00020652525043913887,1.4,28.0,0.2
9.003030212090604e-5,5.6000000000000005,28.0,0.2
8.828282739108255e-6,2.8,34.0,0.2
2.9949494646974802e-5,4.9,37.0,0.2
0.0007782121133513927,1.4,27.0,0.2
0.00026053535090368333,4.2,26.0,0.2
0.005233626209761351,2.0999999999999996,25.0,0.2
