gamma,l,rho
24.0,25.0,0.5
14.0,18.0,1.0
24.0,16.0,2.0
4.0,12.0,0.0
24.0,24.0,0.1
18.0,20.0,0.25
16.0,20.0,0.5
8.0,15.0,1.0
22.0,23.0,2.0
6.0,13.0,0.0
16.0,21.0,0.1
24.0,26.0,0.25
10.0,16.0,0.5
18.0,21.0,1.0
10.0,17.0,2.0
4.0,15.0,0.0
10.0,16.0,0.1
6.0,13.0,0.25
12.0,17.0,0.5
12.0,17.0,1.0
18.0,15.0,2.0
6.0,13.0,0.0
22.0,24.0,0.1
6.0,13.0,0.25
10.0,16.0,0.5
18.0,20.0,1.0
38.0,25.0,2.0
0.0,9.0,0.0
8.0,16.0,0.1
18.0,20.0,0.25
16.0,20.0,0.5
10.0,14.0,1.0
26.0,28.0,2.0
14.0,20.0,0.0
12.0,18.0,0.1
10.0,16.0,0.25
18.0,20.0,0.5
16.0,19.0,1.0
34.0,32.0,2.0
6.0,14.0,0.0
22.0,24.0,0.1
14.0,17.0,0.25
18.0,20.0,0.5
10.0,15.0,1.0
12.0,17.0,2.0
20.0,23.0,0.0
22.0,25.0,0.1
20.0,22.0,0.25
20.0,23.0,0.5
10.0,14.0,1.0
20.0,23.0,2.0
4.0,12.0,0.0
18.0,21.0,0.1
20.0,26.0,0.25
12.0,18.0,0.5
28.0,25.0,1.0
22.0,23.0,2.0
10.0,16.0,0.0
8.0,18.0,0.1
10.0,15.0,0.25
10.0,16.0,0.5
12.0,15.0,1.0
18.0,22.0,2.0
6.0,13.0,0.0
14.0,19.0,0.1
8.0,15.0,0.25
14.0,20.0,0.5
16.0,21.0,1.0
32.0,19.0,2.0
10.0,18.0,0.0
4.0,12.0,0.1
16.0,18.0,0.25
30.0,30.0,0.5
18.0,20.0,1.0
24.0,26.0,2.0
4.0,12.0,0.0
8.0,15.0,0.1
12.0,17.0,0.25
24.0,26.0,0.5
16.0,9.0,1.0
20.0,19.0,2.0
6.0,15.0,0.0
10.0,15.0,0.1
12.0,17.0,0.25
6.0,14.0,0.5
24.0,17.0,1.0
30.0,29.0,2.0
26.0,27.0,0.0
8.0,14.0,0.1
2.0,10.0,0.25
14.0,20.0,0.5
24.0,26.0,1.0
22.0,21.0,2.0
16.0,19.0,0.0
24.0,25.0,0.1
24.0,25.0,0.25
14.0,19.0,0.5
22.0,28.0,1.0
18.0,19.0,2.0
4.0,12.0,0.0
6.0,14.0,0.1
12.0,17.0,0.25
