gamma,l,rho,f0
1.2982608695652174,23.0,1.0,0.01
0.874,24.0,0.0,0.01
0.9165,24.0,0.1,0.01
1.0024166666666667,24.0,0.5,0.01
1.0181666666666667,24.0,1.0,0.01
0.9668800000000001,25.0,0.0,0.01
1.04464,25.0,0.1,0.01
1.084,25.0,0.5,0.01
1.34952,25.0,1.0,0.01
0.9376153846153846,26.0,0.0,0.01
0.8328461538461538,26.0,0.1,0.01
0.9303846153846155,26.0,0.5,0.01
1.013923076923077,26.0,1.0,0.01
1.0876296296296297,27.0,0.0,0.01
1.0349629629629629,27.0,0.1,0.01
1.0425185185185184,27.0,0.5,0.01
1.3995555555555554,27.0,1.0,0.01
1.0602857142857143,28.0,0.0,0.01
0.8827857142857143,28.0,0.1,0.01
1.0263571428571427,28.0,0.5,0.01
0.9585,28.0,1.0,0.01
1.0351724137931035,29.0,0.0,0.01
1.0935172413793104,29.0,0.1,0.01
1.0330344827586206,29.0,0.5,0.01
1.1063448275862071,29.0,1.0,0.01
0.9448000000000001,30.0,0.0,0.01
1.0733333333333335,30.0,0.1,0.01
1.1390666666666667,30.0,0.5,0.01
1.0739333333333334,30.0,1.0,0.01
1.6136,5.0,0.0,0.025
0.6604,5.0,0.1,0.025
1.1864000000000001,5.0,0.5,0.025
1.2492,5.0,1.0,0.025
1.2703333333333333,6.0,0.0,0.025
1.7446666666666666,6.0,0.1,0.025
1.207,6.0,0.5,0.025
1.3803333333333334,6.0,1.0,0.025
0.032857142857142856,7.0,0.0,0.025
0.02914285714285714,7.0,0.1,0.025
1.6617142857142857,7.0,0.5,0.025
1.91,7.0,1.0,0.025
0.07375,8.0,0.0,0.025
0.2755,8.0,0.1,0.025
1.571,8.0,0.5,0.025
0.0625,8.0,1.0,0.025
0.033555555555555554,9.0,0.0,0.025
0.13422222222222221,9.0,0.1,0.025
0.9648888888888888,9.0,0.5,0.025
0.7555555555555555,9.0,1.0,0.025
0.2474,10.0,0.0,0.025
0.1368,10.0,0.1,0.025
0.437,10.0,0.5,0.025
1.6024,10.0,1.0,0.025
0.36672727272727274,11.0,0.0,0.025
0.36818181818181817,11.0,0.1,0.025
0.3654545454545454,11.0,0.5,0.025
1.0894545454545455,11.0,1.0,0.025
0.3725,12.0,0.0,0.025
0.21716666666666665,12.0,0.1,0.025
0.48983333333333334,12.0,0.5,0.025
0.3813333333333333,12.0,1.0,0.025
0.4727692307692308,13.0,0.0,0.025
0.48615384615384616,13.0,0.1,0.025
0.6243076923076922,13.0,0.5,0.025
0.6124615384615384,13.0,1.0,0.025
0.6087142857142858,14.0,0.0,0.025
0.5987142857142856,14.0,0.1,0.025
0.6107142857142858,14.0,0.5,0.025
0.6452857142857144,14.0,1.0,0.025
0.6765333333333333,15.0,0.0,0.025
0.5378666666666666,15.0,0.1,0.025
0.6141333333333333,15.0,0.5,0.025
0.9990666666666667,15.0,1.0,0.025
0.5595,16.0,0.0,0.025
0.634375,16.0,0.1,0.025
0.514875,16.0,0.5,0.025
0.850625,16.0,1.0,0.025
0.729764705882353,17.0,0.0,0.025
0.6068235294117648,17.0,0.1,0.025
0.7078823529411765,17.0,0.5,0.025
0.5989411764705883,17.0,1.0,0.025
0.7872222222222223,18.0,0.0,0.025
0.7737777777777778,18.0,0.1,0.025
0.8747777777777778,18.0,0.5,0.025
0.5655555555555556,18.0,1.0,0.025
0.7986315789473684,19.0,0.0,0.025
0.8081052631578947,19.0,0.1,0.025
0.9393684210526315,19.0,0.5,0.025
0.880842105263158,19.0,1.0,0.025
0.8356,20.0,0.0,0.025
0.8058,20.0,0.1,0.025
0.8176,20.0,0.5,0.025
0.8061999999999999,20.0,1.0,0.025
0.7731428571428571,21.0,0.0,0.025
0.862095238095238,21.0,0.1,0.025
0.7988571428571428,21.0,0.5,0.025
0.7643809523809524,21.0,1.0,0.025
0.8283636363636364,22.0,0.0,0.025
0.8357272727272727,22.0,0.1,0.025
0.8485454545454545,22.0,0.5,0.025
0.9709090909090908,22.0,1.0,0.025
0.7805217391304349,23.0,0.0,0.025
0.84,23.0,0.1,0.025
0.8264347826086956,23.0,0.5,0.025
0.9567826086956522,23.0,1.0,0.025
0.9235833333333333,24.0,0.0,0.025
0.9451666666666667,24.0,0.1,0.025
0.9218333333333333,24.0,0.5,0.025
0.9315000000000001,24.0,1.0,0.025
0.82856,25.0,0.0,0.025
0.9947199999999999,25.0,0.1,0.025
0.74936,25.0,0.5,0.025
1.05128,25.0,1.0,0.025
1.001076923076923,26.0,0.0,0.025
0.8461538461538461,26.0,0.1,0.025
1.0072307692307692,26.0,0.5,0.025
0.9583076923076923,26.0,1.0,0.025
0.9008148148148147,27.0,0.0,0.025
0.9376296296296296,27.0,0.1,0.025
0.9631111111111111,27.0,0.5,0.025
0.9593333333333334,27.0,1.0,0.025
1.0218571428571428,28.0,0.0,0.025
1.0049285714285714,28.0,0.1,0.025
0.8809285714285714,28.0,0.5,0.025
0.8253571428571428,28.0,1.0,0.025
1.0024137931034482,29.0,0.0,0.025
1.036551724137931,29.0,0.1,0.025
0.9682758620689654,29.0,0.5,0.025
1.1277241379310345,29.0,1.0,0.025
1.0387333333333333,30.0,0.0,0.025
0.9405333333333333,30.0,0.1,0.025
1.0354,30.0,0.5,0.025
1.0735999999999999,30.0,1.0,0.025
1.2752000000000001,5.0,0.0,0.05
1.6440000000000001,5.0,0.1,0.05
1.7508,5.0,0.5,0.05
1.6507999999999998,5.0,1.0,0.05
0.008666666666666666,6.0,0.0,0.05
1.5359999999999998,6.0,0.1,0.05
