rho,l,gamma
0.001,21.0,1.5091333333333337
0.001,22.0,1.4947963636363641
0.001,23.0,1.512600869565218
0.001,24.0,1.5001700000000004
0.001,25.0,1.4823167999999998
0.001,26.0,1.5217661538461535
0.001,27.0,1.5124207407407402
0.001,28.0,1.5113657142857138
0.001,29.0,1.4913151724137927
0.001,30.0,1.5156040000000002
