gamma,l,rho,f0
0.8645,24.0,1.0,0.01
0.9867199999999999,25.0,0.0,0.01
1.0076,25.0,0.1,0.01
0.9493600000000001,25.0,0.5,0.01
0.8812000000000001,25.0,1.0,0.01
0.9390769230769231,26.0,0.0,0.01
1.031153846153846,26.0,0.1,0.01
1.048,26.0,0.5,0.01
1.149,26.0,1.0,0.01
0.976,27.0,0.0,0.01
1.0338518518518518,27.0,0.1,0.01
1.6334814814814815,27.0,0.5,0.01
1.5003703703703704,27.0,1.0,0.01
1.085357142857143,28.0,0.0,0.01
0.9635714285714286,28.0,0.1,0.01
1.0649285714285714,28.0,0.5,0.01
1.0238571428571428,28.0,1.0,0.01
1.0535862068965516,29.0,0.0,0.01
1.0331724137931035,29.0,0.1,0.01
1.018,29.0,0.5,0.01
1.2165517241379311,29.0,1.0,0.01
1.0623333333333334,30.0,0.0,0.01
1.0411333333333335,30.0,0.1,0.01
1.1145333333333334,30.0,0.5,0.01
1.0962666666666665,30.0,1.0,0.01
1.6303999999999998,5.0,0.0,0.025
1.8519999999999999,5.0,0.1,0.025
1.9376000000000002,5.0,0.5,0.025
1.6288,5.0,1.0,0.025
0.029666666666666664,6.0,0.0,0.025
1.6936666666666669,6.0,0.1,0.025
0.05933333333333333,6.0,0.5,0.025
0.14166666666666666,6.0,1.0,0.025
0.03628571428571429,7.0,0.0,0.025
0.020857142857142855,7.0,0.1,0.025
0.8705714285714287,7.0,0.5,0.025
0.024,7.0,1.0,0.025
0.004,8.0,0.0,0.025
0.02325,8.0,0.1,0.025
0.015,8.0,0.5,0.025
0.01375,8.0,1.0,0.025
0.23044444444444442,9.0,0.0,0.025
0.03422222222222222,9.0,0.1,0.025
0.3731111111111111,9.0,0.5,0.025
1.4215555555555557,9.0,1.0,0.025
0.21539999999999998,10.0,0.0,0.025
0.26,10.0,0.1,0.025
0.4154,10.0,0.5,0.025
0.8888,10.0,1.0,0.025
0.19163636363636363,11.0,0.0,0.025
0.19654545454545455,11.0,0.1,0.025
0.21872727272727274,11.0,0.5,0.025
1.9367272727272726,11.0,1.0,0.025
0.3506666666666667,12.0,0.0,0.025
0.3993333333333333,12.0,0.1,0.025
0.6466666666666666,12.0,0.5,0.025
0.6211666666666666,12.0,1.0,0.025
0.36892307692307696,13.0,0.0,0.025
0.42415384615384616,13.0,0.1,0.025
0.49276923076923074,13.0,0.5,0.025
