gamma,l,rho
14.0,20.0,1.0
34.0,33.0,2.0
40.0,35.0,5.0
14.0,23.0,0.0
16.0,22.0,0.1
18.0,24.0,0.5
42.0,39.0,1.0
34.0,32.0,2.0
38.0,36.0,5.0
18.0,23.0,0.0
22.0,25.0,0.1
16.0,21.0,0.5
22.0,28.0,1.0
38.0,38.0,2.0
36.0,34.0,5.0
12.0,19.0,0.0
32.0,34.0,0.1
34.0,32.0,0.5
44.0,38.0,1.0
16.0,21.0,2.0
46.0,41.0,5.0
44.0,44.0,0.0
2.0,12.0,0.1
32.0,32.0,0.5
14.0,18.0,1.0
32.0,29.0,2.0
16.0,20.0,5.0
20.0,25.0,0.0
18.0,23.0,0.1
8.0,15.0,0.5
14.0,18.0,1.0
40.0,38.0,2.0
28.0,28.0,5.0
6.0,13.0,0.0
14.0,21.0,0.1
18.0,25.0,0.5
36.0,34.0,1.0
32.0,31.0,2.0
34.0,33.0,5.0
12.0,19.0,0.0
24.0,29.0,0.1
20.0,24.0,0.5
30.0,30.0,1.0
30.0,30.0,2.0
32.0,26.0,5.0
20.0,24.0,0.0
18.0,23.0,0.1
24.0,28.0,0.5
10.0,16.0,1.0
14.0,21.0,2.0
36.0,34.0,5.0
26.0,30.0,0.0
26.0,28.0,0.1
28.0,28.0,0.5
22.0,25.0,1.0
20.0,24.0,2.0
24.0,26.0,5.0
18.0,25.0,0.0
28.0,30.0,0.1
24.0,26.0,0.5
44.0,40.0,1.0
10.0,17.0,2.0
22.0,18.0,5.0
26.0,28.0,0.0
18.0,22.0,0.1
16.0,21.0,0.5
12.0,19.0,1.0
14.0,18.0,2.0
46.0,41.0,5.0
10.0,17.0,0.0
20.0,24.0,0.1
26.0,32.0,0.5
18.0,21.0,1.0
44.0,40.0,2.0
56.0,48.0,5.0
28.0,30.0,0.0
6.0,15.0,0.1
40.0,38.0,0.5
28.0,30.0,1.0
32.0,31.0,2.0
24.0,26.0,5.0
22.0,26.0,0.0
20.0,23.0,0.1
22.0,26.0,0.5
18.0,24.0,1.0
36.0,34.0,2.0
40.0,36.0,5.0
20.0,24.0,0.0
20.0,24.0,0.1
32.0,32.0,0.5
14.0,20.0,1.0
24.0,28.0,2.0
8.0,12.0,5.0
32.0,32.0,0.0
16.0,21.0,0.1
24.0,26.0,0.5
22.0,28.0,1.0
36.0,35.0,2.0
10.0,17.0,5.0
4.0,12.0,0.0
36.0,38.0,0.1
26.0,27.0,0.5
40.0,36.0,1.0
12.0,19.0,2.0
58.0,48.0,5.0
20.0,24.0,0.0
20.0,25.0,0.1
22.0,26.0,0.5
18.0,21.0,1.0
26.0,28.0,2.0
28.0,20.0,5.0
14.0,20.0,0.0
8.0,17.0,0.1
22.0,23.0,0.5
