p_l,l,kappa
0.007581905454545454,91.0,10.0
0.0061656236363636365,92.0,10.0
0.005552430909090909,93.0,10.0
0.007230370909090909,94.0,10.0
0.010478765454545454,95.0,10.0
0.0062183,96.0,10.0
0.00300026,97.0,10.0
0.0026224418181818184,98.0,10.0
0.0030268672727272725,99.0,10.0
0.004188592727272727,100.0,10.0
0.003477189090909091,101.0,10.0
0.005249101818181818,102.0,10.0
0.0028494381818181817,103.0,10.0
0.006053030909090909,104.0,10.0
0.0021833,105.0,10.0
0.005790272727272727,106.0,10.0
0.004884890909090909,107.0,10.0
0.0063109436363636365,108.0,10.0
0.010007452727272726,109.0,10.0
0.008459861818181818,110.0,10.0
0.010889614545454545,111.0,10.0
0.015525541818181818,112.0,10.0
0.009731107272727272,113.0,10.0
0.009145285454545455,114.0,10.0
0.013342612727272727,115.0,10.0
0.009586147272727273,116.0,10.0
0.00927858,117.0,10.0
0.009217781818181819,118.0,10.0
0.010262903636363636,119.0,10.0
0.014912012727272727,120.0,10.0
0.013510716363636363,121.0,10.0
0.015136510909090909,122.0,10.0
0.014660665454545455,123.0,10.0
0.013396447272727272,124.0,10.0
0.01943189090909091,125.0,10.0
0.03523813818181818,126.0,10.0
0.041240847272727275,127.0,10.0
0.02210255090909091,128.0,10.0
0.02559728,129.0,10.0
0.024596456363636363,130.0,10.0
0.024383925454545454,131.0,10.0
0.03188584,132.0,10.0
0.039653167272727274,133.0,10.0
0.05811342545454545,134.0,10.0
0.06124958,135.0,10.0
0.05413996,136.0,10.0
0.03451677454545454,137.0,10.0
0.03851278545454546,138.0,10.0
0.03088868,139.0,10.0
0.02584829818181818,140.0,10.0
0.03485228,141.0,10.0
0.014707789090909092,142.0,10.0
0.005551518181818182,143.0,10.0
0.001074318181818182,144.0,10.0
0.003966265454545454,145.0,10.0
0.0013876254545454546,146.0,10.0
0.004660396363636364,147.0,10.0
0.0011724436363636363,148.0,10.0
0.0026823945454545455,149.0,10.0
0.005373289090909091,150.0,10.0
0.004900147272727273,151.0,10.0
0.003321027272727273,152.0,10.0
0.005068447272727272,153.0,10.0
0.0004224090909090909,154.0,10.0
7.361809523809524e-5,78.0,20.0
0.0006572809523809524,79.0,20.0
3.6675238095238096e-5,80.0,20.0
0.000428252380952381,81.0,20.0
5.0405714285714285e-5,82.0,20.0
0.0008753714285714286,83.0,20.0
0.0016398504761904761,84.0,20.0
0.0007148057142857142,85.0,20.0
0.0006215171428571428,86.0,20.0
0.001016332380952381,87.0,20.0
0.000855972380952381,88.0,20.0
0.0011711742857142857,89.0,20.0
0.0007854380952380953,90.0,20.0
0.0020649866666666667,91.0,20.0
0.0028555114285714286,92.0,20.0
0.00548026380952381,93.0,20.0
0.0021494980952380953,94.0,20.0
0.0025992485714285713,95.0,20.0
0.002908050476190476,96.0,20.0
0.005819792380952381,97.0,20.0
0.006096166666666666,98.0,20.0
0.00569124,99.0,20.0
0.005691200952380952,100.0,20.0
0.007765062857142857,101.0,20.0
0.008650895238095238,102.0,20.0
0.011526350476190475,103.0,20.0
0.014019905714285715,104.0,20.0
0.013901302857142857,105.0,20.0
0.01521727619047619,106.0,20.0
0.014578785714285714,107.0,20.0
0.01743108,108.0,20.0
0.017734529523809522,109.0,20.0
0.02715937619047619,110.0,20.0
0.025020410476190476,111.0,20.0
0.026218011428571428,112.0,20.0
0.019855270476190477,113.0,20.0
0.014316013333333334,114.0,20.0
0.015305000952380953,115.0,20.0
0.01585380857142857,116.0,20.0
0.01719149523809524,117.0,20.0
0.02563266761904762,118.0,20.0
0.02479348857142857,119.0,20.0
0.025559518095238095,120.0,20.0
0.031806345714285714,121.0,20.0
0.027319814285714287,122.0,20.0
0.042550010476190475,123.0,20.0
0.05314462952380952,124.0,20.0
0.043473946666666666,125.0,20.0
0.04330437523809524,126.0,20.0
0.04813340380952381,127.0,20.0
0.045478331428571425,128.0,20.0
0.04294172380952381,129.0,20.0
0.026408846666666666,130.0,20.0
0.028588019047619047,131.0,20.0
0.022936559047619046,132.0,20.0
0.024180095238095237,133.0,20.0
0.021794229523809525,134.0,20.0
0.015468601904761905,135.0,20.0
0.013885578095238096,136.0,20.0
0.01412217142857143,137.0,20.0
