gamma,l,rho,f0
1.7309333333333332,30.0,0.5,0.025
1.2698,30.0,1.0,0.025
0.4088,5.0,0.0,0.05
0.454,5.0,0.1,0.05
0.7988000000000001,5.0,0.5,0.05
0.4168,5.0,1.0,0.05
0.21933333333333335,6.0,0.0,0.05
0.0013333333333333333,6.0,0.1,0.05
0.34833333333333333,6.0,0.5,0.05
0.37966666666666665,6.0,1.0,0.05
0.17085714285714285,7.0,0.0,0.05
0.308,7.0,0.1,0.05
0.2694285714285714,7.0,0.5,0.05
0.33314285714285713,7.0,1.0,0.05
0.2205,8.0,0.0,0.05
0.152,8.0,0.1,0.05
0.252,8.0,0.5,0.05
0.31375,8.0,1.0,0.05
0.1631111111111111,9.0,0.0,0.05
0.24777777777777776,9.0,0.1,0.05
0.32422222222222224,9.0,0.5,0.05
0.254,9.0,1.0,0.05
0.22599999999999998,10.0,0.0,0.05
0.21939999999999998,10.0,0.1,0.05
0.1386,10.0,0.5,0.05
0.046200000000000005,10.0,1.0,0.05
0.19727272727272727,11.0,0.0,0.05
0.20345454545454544,11.0,0.1,0.05
0.24745454545454545,11.0,0.5,0.05
0.3803636363636364,11.0,1.0,0.05
0.033999999999999996,12.0,0.0,0.05
0.17133333333333334,12.0,0.1,0.05
1.326,12.0,0.5,0.05
0.4996666666666667,12.0,1.0,0.05
0.11184615384615385,13.0,0.0,0.05
0.030615384615384617,13.0,0.1,0.05
0.4653846153846154,13.0,0.5,0.05
1.2806153846153845,13.0,1.0,0.05
1.5898571428571429,14.0,0.0,0.05
0.1285714285714286,14.0,0.1,0.05
1.49,14.0,0.5,0.05
1.516857142857143,14.0,1.0,0.05
1.6005333333333334,15.0,0.0,0.05
0.1548,15.0,0.1,0.05
1.5156,15.0,0.5,0.05
1.6840000000000002,15.0,1.0,0.05
1.37525,16.0,0.0,0.05
1.627375,16.0,0.1,0.05
1.50225,16.0,0.5,0.05
1.426375,16.0,1.0,0.05
0.12423529411764707,17.0,0.0,0.05
1.6464705882352941,17.0,0.1,0.05
1.6296470588235294,17.0,0.5,0.05
1.639764705882353,17.0,1.0,0.05
1.337888888888889,18.0,0.0,0.05
1.119111111111111,18.0,0.1,0.05
1.5245555555555557,18.0,0.5,0.05
1.222,18.0,1.0,0.05
1.559263157894737,19.0,0.0,0.05
1.848,19.0,0.1,0.05
1.6078947368421053,19.0,0.5,0.05
1.678421052631579,19.0,1.0,0.05
1.7030999999999998,20.0,0.0,0.05
1.4835,20.0,0.1,0.05
1.5062,20.0,0.5,0.05
1.4299,20.0,1.0,0.05
1.7183809523809523,21.0,0.0,0.05
1.237142857142857,21.0,0.1,0.05
1.5417142857142856,21.0,0.5,0.05
1.521047619047619,21.0,1.0,0.05
1.8176363636363637,22.0,0.0,0.05
1.5567272727272725,22.0,0.1,0.05
1.381,22.0,0.5,0.05
