gamma,l,kappa
0.54375,160.0,0.0
0.54375,160.0,2.0
0.56875,160.0,4.0
0.54375,160.0,6.0
0.55625,160.0,8.0
0.55625,160.0,10.0
0.56875,160.0,12.0
0.5625,160.0,14.0
0.575,160.0,16.0
0.575,160.0,18.0
0.5625,160.0,20.0
0.5235294117647059,170.0,0.0
0.5470588235294118,170.0,2.0
0.5705882352941176,170.0,4.0
0.5647058823529412,170.0,6.0
0.5705882352941176,170.0,8.0
0.5470588235294118,170.0,10.0
0.5823529411764705,170.0,12.0
0.5764705882352941,170.0,14.0
0.5764705882352941,170.0,16.0
0.5882352941176471,170.0,18.0
0.5764705882352941,170.0,20.0
0.5444444444444445,180.0,0.0
0.5666666666666667,180.0,2.0
0.5777777777777777,180.0,4.0
0.5777777777777777,180.0,6.0
0.5888888888888889,180.0,8.0
0.5833333333333333,180.0,10.0
0.5777777777777777,180.0,12.0
0.5722222222222222,180.0,14.0
0.5833333333333333,180.0,16.0
0.5833333333333333,180.0,18.0
0.6,180.0,20.0
0.5473684210526316,190.0,0.0
0.5894736842105263,190.0,2.0
0.5894736842105263,190.0,4.0
0.5789473684210527,190.0,6.0
0.5842105263157895,190.0,8.0
0.5947368421052632,190.0,10.0
0.5947368421052632,190.0,12.0
0.6052631578947368,190.0,14.0
0.6052631578947368,190.0,16.0
0.6105263157894737,190.0,18.0
0.5947368421052632,190.0,20.0
0.5650000000000001,200.0,0.0
0.58,200.0,2.0
0.585,200.0,4.0
0.5700000000000001,200.0,6.0
0.58,200.0,8.0
0.5900000000000001,200.0,10.0
0.615,200.0,12.0
0.605,200.0,14.0
0.605,200.0,16.0
0.605,200.0,18.0
0.6,200.0,20.0
0.2571428571428572,70.0,0.0
0.3,70.0,2.0
0.32857142857142857,70.0,4.0
0.2857142857142857,70.0,6.0
0.37142857142857144,70.0,8.0
0.37142857142857144,70.0,10.0
0.34285714285714286,70.0,12.0
0.34285714285714286,70.0,14.0
0.38571428571428573,70.0,16.0
0.34285714285714286,70.0,18.0
0.34285714285714286,70.0,20.0
0.325,80.0,0.0
0.375,80.0,2.0
0.4125,80.0,4.0
0.3875,80.0,6.0
0.375,80.0,8.0
0.3625,80.0,10.0
0.375,80.0,12.0
0.4,80.0,14.0
0.4125,80.0,16.0
0.4375,80.0,18.0
0.3875,80.0,20.0
0.36666666666666664,90.0,0.0
0.3888888888888889,90.0,2.0
0.4333333333333333,90.0,4.0
0.37777777777777777,90.0,6.0
0.3888888888888889,90.0,8.0
0.45555555555555555,90.0,10.0
